dialogue_id,trigger,trigger_ref,step_order,speaker,icon,style,line
dlg_arrive,JOURNEY_START,,1,Piper,🐕‍🦺,BUBBLE,냄새가 난다. 가까워.
dlg_arrive,JOURNEY_START,,2,Nashui,🐈,BUBBLE,여기… 사람이 살던 곳이었네요.
dlg_arrive,JOURNEY_START,,3,방랑자,🐾,ME,그럼 두고 간 것도 있겠지.
dlg_arrive,JOURNEY_START,,4,,,MONO,가족을 잃고 며칠을 떠돌았다. 이제 남을 찾는 쪽이 되었다.
dlg_first_rescue,FIRST_RESCUE,,1,Nashui,🐈,BUBBLE,어머 귀여워. 이름이 뭐예요?
dlg_first_rescue,FIRST_RESCUE,,2,방랑자,🐾,ME,아직 없어. 천천히 붙여주자.
dlg_first_rescue,FIRST_RESCUE,,3,Piper,🐕‍🦺,BUBBLE,이름은 데리고 나간 다음에 붙이는 거야.
dlg_first_rescue,FIRST_RESCUE,,4,,,MONO,하나가 늘었다. 그만큼 잃을 것도 늘었다.
dlg_crossroad,AREA_ENTER,area_i11,1,Olmas,🦉,BUBBLE,여기서부터는 네가 고르는 길이다.
dlg_crossroad,AREA_ENTER,area_i11,2,방랑자,🐾,ME,어디로 가도 날짜는 똑같이 줄어들겠지.
dlg_crossroad,AREA_ENTER,area_i11,3,Nashui,🐈,BUBBLE,그래도 고를 수 있는 게 어디예요.
dlg_dock,AREA_ENTER,area_i21,1,,,MONO,배가 닿았다. 여기서부터다.
dlg_dock_clear,AREA_PURIFY,area_i21,1,,,MONO,탁한 물이 걷힌다. 부두에 색이 돌아온다.
dlg_dock_clear,AREA_PURIFY,area_i21,2,Nashui,🐈,BUBBLE,여기… 살던 냄새가 나요.
dlg_dock_clear,AREA_PURIFY,area_i21,3,Piper,🐕‍🦺,BUBBLE,이제 길이 보인다. 아이를 찾을 수 있어.
dlg_dock_clear,AREA_PURIFY,area_i21,4,방랑자,🐾,ME,이 물이 맑아져야 여기서 마시던 것들도 돌아온다.
dlg_gate,NODE_KIND,MINIBOSS,1,Piper,🐕‍🦺,BUBBLE,집중해. 이건 대화로는 안 돼.
dlg_gate,NODE_KIND,MINIBOSS,2,방랑자,🐾,ME,넘어야 안쪽으로 갈 수 있어.
dlg_final,NODE_KIND,BOSS,1,Piper,🐕‍🦺,BUBBLE,마지막이야. 숨 고르고.
dlg_final,NODE_KIND,BOSS,2,Nashui,🐈,BUBBLE,무서우면 무섭다고 해도 돼요.
dlg_final,NODE_KIND,BOSS,3,방랑자,🐾,ME,무섭진 않아. 다시 잃는 게 무서운 거지.
dlg_final,NODE_KIND,BOSS,4,Olmas,🦉,BUBBLE,그래서 우리가 같이 왔다.
